ining Epoch 1 --- Training Accuracy:  85.2%, Validation Accuracy:  76.6%,  Validation Loss: 1.493
Training Epoch 2 --- Training Accuracy:  96.9%, Validation Accuracy:  78.1%,  Validation Loss: 0.864
Training Epoch 3 --- Training Accuracy:  97.7%, Validation Accuracy:  78.9%,  Validation Loss: 1.106
Training Epoch 4 --- Training Accuracy:  99.2%, Validation Accuracy:  71.9%,  Validation Loss: 1.390
Training Epoch 5 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.252
Training Epoch 6 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.185
Training Epoch 7 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.590
Training Epoch 8 --- Training Accuracy:  99.2%, Validation Accuracy:  71.1%,  Validation Loss: 1.894
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.567
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.201
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.686
Training Epoch 12 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 1.813
Training Epoch 13 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.697
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.460
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.608
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 1.701
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.500
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.929
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.640
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.840
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.634
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.756
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.640
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.077
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.554
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.967
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  82.8%,  Validation Loss: 1.431
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.885
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.963
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.747
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.661
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.700
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 3.249
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 2.378
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 3.303
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.729
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 3.088
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.626
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 2.823
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.599
Training Epoch 41 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 3.370
Training Epoch 42 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 3.979
Training Epoch 43 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 3.062
Training Epoch 44 --- Training Accuracy: 100.0%, Validation Accuracy:  82.8%,  Validation Loss: 2.132
Training Epoch 45 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 4.295
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 4.324
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 3.855
Training Epoch 48 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 3.649
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 3.655
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 4.298
Training Epoch 51 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 3.098
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 4.236
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 3.459
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 3.841
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 3.250
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 3.447
