ining Epoch 1 --- Training Accuracy:  54.7%, Validation Accuracy:  69.5%,  Validation Loss: 1.803
Training Epoch 2 --- Training Accuracy:  54.7%, Validation Accuracy:  60.9%,  Validation Loss: 0.651
Training Epoch 3 --- Training Accuracy:  54.7%, Validation Accuracy:  64.1%,  Validation Loss: 0.607
Training Epoch 4 --- Training Accuracy:  54.7%, Validation Accuracy:  66.4%,  Validation Loss: 0.611
Training Epoch 5 --- Training Accuracy:  54.7%, Validation Accuracy:  60.2%,  Validation Loss: 0.643
Training Epoch 6 --- Training Accuracy:  54.7%, Validation Accuracy:  63.3%,  Validation Loss: 0.652
Training Epoch 7 --- Training Accuracy:  54.7%, Validation Accuracy:  60.9%,  Validation Loss: 0.677
Training Epoch 8 --- Training Accuracy:  54.7%, Validation Accuracy:  60.2%,  Validation Loss: 0.639
Training Epoch 9 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.600
Training Epoch 10 --- Training Accuracy:  54.7%, Validation Accuracy:  62.5%,  Validation Loss: 0.702
Training Epoch 11 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.626
Training Epoch 12 --- Training Accuracy:  54.7%, Validation Accuracy:  64.1%,  Validation Loss: 0.620
Training Epoch 13 --- Training Accuracy:  54.7%, Validation Accuracy:  59.4%,  Validation Loss: 0.665
Training Epoch 14 --- Training Accuracy:  54.7%, Validation Accuracy:  65.6%,  Validation Loss: 0.653
Training Epoch 15 --- Training Accuracy:  54.7%, Validation Accuracy:  69.5%,  Validation Loss: 0.614
Training Epoch 16 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.682
Training Epoch 17 --- Training Accuracy:  54.7%, Validation Accuracy:  64.1%,  Validation Loss: 0.659
Training Epoch 18 --- Training Accuracy:  54.7%, Validation Accuracy:  66.4%,  Validation Loss: 0.598
Training Epoch 19 --- Training Accuracy:  54.7%, Validation Accuracy:  66.4%,  Validation Loss: 0.675
Training Epoch 20 --- Training Accuracy:  55.5%, Validation Accuracy:  64.1%,  Validation Loss: 0.633
Training Epoch 21 --- Training Accuracy:  55.5%, Validation Accuracy:  64.1%,  Validation Loss: 0.624
Training Epoch 22 --- Training Accuracy:  53.9%, Validation Accuracy:  60.2%,  Validation Loss: 0.712
Training Epoch 23 --- Training Accuracy:  54.7%, Validation Accuracy:  65.6%,  Validation Loss: 0.671
Training Epoch 24 --- Training Accuracy:  56.2%, Validation Accuracy:  60.2%,  Validation Loss: 0.763
Training Epoch 25 --- Training Accuracy:  55.5%, Validation Accuracy:  61.7%,  Validation Loss: 0.755
Training Epoch 26 --- Training Accuracy:  57.0%, Validation Accuracy:  61.7%,  Validation Loss: 0.721
Training Epoch 27 --- Training Accuracy:  56.2%, Validation Accuracy:  54.7%,  Validation Loss: 0.933
Training Epoch 28 --- Training Accuracy:  59.4%, Validation Accuracy:  52.3%,  Validation Loss: 0.956
Training Epoch 29 --- Training Accuracy:  59.4%, Validation Accuracy:  60.2%,  Validation Loss: 0.814
Training Epoch 30 --- Training Accuracy:  66.4%, Validation Accuracy:  60.2%,  Validation Loss: 0.867
Training Epoch 31 --- Training Accuracy:  71.1%, Validation Accuracy:  60.9%,  Validation Loss: 0.912
Training Epoch 32 --- Training Accuracy:  75.8%, Validation Accuracy:  66.4%,  Validation Loss: 0.883
Training Epoch 33 --- Training Accuracy:  78.9%, Validation Accuracy:  53.9%,  Validation Loss: 1.159
Training Epoch 34 --- Training Accuracy:  75.0%, Validation Accuracy:  65.6%,  Validation Loss: 1.120
Training Epoch 35 --- Training Accuracy:  80.5%, Validation Accuracy:  68.0%,  Validation Loss: 0.997
Training Epoch 36 --- Training Accuracy:  80.5%, Validation Accuracy:  63.3%,  Validation Loss: 1.401
Training Epoch 37 --- Training Accuracy:  85.9%, Validation Accuracy:  57.0%,  Validation Loss: 1.630
Training Epoch 38 --- Training Accuracy:  88.3%, Validation Accuracy:  61.7%,  Validation Loss: 1.541
Training Epoch 39 --- Training Accuracy:  87.5%, Validation Accuracy:  58.6%,  Validation Loss: 1.838
Training Epoch 40 --- Training Accuracy:  89.8%, Validation Accuracy:  60.9%,  Validation Loss: 1.790
Training Epoch 41 --- Training Accuracy:  96.9%, Validation Accuracy:  62.5%,  Validation Loss: 1.953
