ining Epoch 1 --- Training Accuracy:  46.1%, Validation Accuracy:  71.1%,  Validation Loss: 0.809
Training Epoch 2 --- Training Accuracy:  56.2%, Validation Accuracy:  56.2%,  Validation Loss: 1.186
Training Epoch 3 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.953
Training Epoch 4 --- Training Accuracy:  54.7%, Validation Accuracy:  49.2%,  Validation Loss: 1.297
Training Epoch 5 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 1.198
Training Epoch 6 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.948
Training Epoch 7 --- Training Accuracy:  54.7%, Validation Accuracy:  50.8%,  Validation Loss: 1.312
Training Epoch 8 --- Training Accuracy:  54.7%, Validation Accuracy:  57.0%,  Validation Loss: 1.138
Training Epoch 9 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 1.197
Training Epoch 10 --- Training Accuracy:  54.7%, Validation Accuracy:  53.9%,  Validation Loss: 1.269
Training Epoch 11 --- Training Accuracy:  54.7%, Validation Accuracy:  50.8%,  Validation Loss: 1.307
Training Epoch 12 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 1.189
Training Epoch 13 --- Training Accuracy:  54.7%, Validation Accuracy:  47.7%,  Validation Loss: 1.484
Training Epoch 14 --- Training Accuracy:  54.7%, Validation Accuracy:  53.1%,  Validation Loss: 1.166
Training Epoch 15 --- Training Accuracy:  54.7%, Validation Accuracy:  56.2%,  Validation Loss: 1.192
Training Epoch 16 --- Training Accuracy:  54.7%, Validation Accuracy:  59.4%,  Validation Loss: 1.199
Training Epoch 17 --- Training Accuracy:  54.7%, Validation Accuracy:  52.3%,  Validation Loss: 1.306
Training Epoch 18 --- Training Accuracy:  54.7%, Validation Accuracy:  59.4%,  Validation Loss: 1.108
Training Epoch 19 --- Training Accuracy:  55.5%, Validation Accuracy:  55.5%,  Validation Loss: 1.224
Training Epoch 20 --- Training Accuracy:  55.5%, Validation Accuracy:  64.8%,  Validation Loss: 0.972
Training Epoch 21 --- Training Accuracy:  58.6%, Validation Accuracy:  49.2%,  Validation Loss: 1.260
Training Epoch 22 --- Training Accuracy:  55.5%, Validation Accuracy:  55.5%,  Validation Loss: 1.256
Training Epoch 23 --- Training Accuracy:  56.2%, Validation Accuracy:  64.8%,  Validation Loss: 0.913
Training Epoch 24 --- Training Accuracy:  56.2%, Validation Accuracy:  50.0%,  Validation Loss: 1.408
Training Epoch 25 --- Training Accuracy:  62.5%, Validation Accuracy:  57.0%,  Validation Loss: 1.200
Training Epoch 26 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 1.232
Training Epoch 27 --- Training Accuracy:  57.8%, Validation Accuracy:  54.7%,  Validation Loss: 1.368
Training Epoch 28 --- Training Accuracy:  56.2%, Validation Accuracy:  50.0%,  Validation Loss: 1.435
Training Epoch 29 --- Training Accuracy:  60.9%, Validation Accuracy:  55.5%,  Validation Loss: 1.280
Training Epoch 30 --- Training Accuracy:  62.5%, Validation Accuracy:  47.7%,  Validation Loss: 1.674
Training Epoch 31 --- Training Accuracy:  68.0%, Validation Accuracy:  58.6%,  Validation Loss: 1.231
Training Epoch 32 --- Training Accuracy:  60.9%, Validation Accuracy:  57.0%,  Validation Loss: 1.448
Training Epoch 33 --- Training Accuracy:  71.1%, Validation Accuracy:  59.4%,  Validation Loss: 1.672
Training Epoch 34 --- Training Accuracy:  72.7%, Validation Accuracy:  54.7%,  Validation Loss: 1.767
Training Epoch 35 --- Training Accuracy:  77.3%, Validation Accuracy:  61.7%,  Validation Loss: 1.669
Training Epoch 36 --- Training Accuracy:  74.2%, Validation Accuracy:  56.2%,  Validation Loss: 2.343
Training Epoch 37 --- Training Accuracy:  85.2%, Validation Accuracy:  66.4%,  Validation Loss: 1.993
Training Epoch 38 --- Training Accuracy:  88.3%, Validation Accuracy:  52.3%,  Validation Loss: 3.462
Training Epoch 39 --- Training Accuracy:  82.8%, Validation Accuracy:  55.5%,  Validation Loss: 3.175
Training Epoch 40 --- Training Accuracy:  83.6%, Validation Accuracy:  66.4%,  Validation Loss: 3.079
Training Epoch 41 --- Training Accuracy:  83.6%, Validation Accuracy:  54.7%,  Validation Loss: 4.522
