ining Epoch 1 --- Training Accuracy:  46.1%, Validation Accuracy:  71.1%,  Validation Loss: 0.804
Training Epoch 2 --- Training Accuracy:  56.2%, Validation Accuracy:  55.5%,  Validation Loss: 0.945
Training Epoch 3 --- Training Accuracy:  54.7%, Validation Accuracy:  64.1%,  Validation Loss: 0.784
Training Epoch 4 --- Training Accuracy:  54.7%, Validation Accuracy:  49.2%,  Validation Loss: 1.059
Training Epoch 5 --- Training Accuracy:  54.7%, Validation Accuracy:  54.7%,  Validation Loss: 0.992
Training Epoch 6 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.795
Training Epoch 7 --- Training Accuracy:  54.7%, Validation Accuracy:  50.0%,  Validation Loss: 1.059
Training Epoch 8 --- Training Accuracy:  54.7%, Validation Accuracy:  57.0%,  Validation Loss: 0.930
Training Epoch 9 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 0.958
Training Epoch 10 --- Training Accuracy:  54.7%, Validation Accuracy:  54.7%,  Validation Loss: 1.002
Training Epoch 11 --- Training Accuracy:  54.7%, Validation Accuracy:  50.0%,  Validation Loss: 1.020
Training Epoch 12 --- Training Accuracy:  54.7%, Validation Accuracy:  53.9%,  Validation Loss: 0.940
Training Epoch 13 --- Training Accuracy:  54.7%, Validation Accuracy:  47.7%,  Validation Loss: 1.160
Training Epoch 14 --- Training Accuracy:  54.7%, Validation Accuracy:  53.1%,  Validation Loss: 0.941
Training Epoch 15 --- Training Accuracy:  54.7%, Validation Accuracy:  56.2%,  Validation Loss: 0.963
Training Epoch 16 --- Training Accuracy:  54.7%, Validation Accuracy:  60.2%,  Validation Loss: 0.961
Training Epoch 17 --- Training Accuracy:  55.5%, Validation Accuracy:  52.3%,  Validation Loss: 1.048
Training Epoch 18 --- Training Accuracy:  54.7%, Validation Accuracy:  60.2%,  Validation Loss: 0.889
Training Epoch 19 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 0.957
Training Epoch 20 --- Training Accuracy:  54.7%, Validation Accuracy:  64.1%,  Validation Loss: 0.803
Training Epoch 21 --- Training Accuracy:  55.5%, Validation Accuracy:  49.2%,  Validation Loss: 1.072
Training Epoch 22 --- Training Accuracy:  55.5%, Validation Accuracy:  54.7%,  Validation Loss: 1.013
Training Epoch 23 --- Training Accuracy:  55.5%, Validation Accuracy:  64.8%,  Validation Loss: 0.847
Training Epoch 24 --- Training Accuracy:  56.2%, Validation Accuracy:  50.0%,  Validation Loss: 1.179
Training Epoch 25 --- Training Accuracy:  55.5%, Validation Accuracy:  57.0%,  Validation Loss: 1.018
Training Epoch 26 --- Training Accuracy:  53.1%, Validation Accuracy:  55.5%,  Validation Loss: 1.028
Training Epoch 27 --- Training Accuracy:  58.6%, Validation Accuracy:  53.9%,  Validation Loss: 1.204
Training Epoch 28 --- Training Accuracy:  56.2%, Validation Accuracy:  50.0%,  Validation Loss: 1.222
Training Epoch 29 --- Training Accuracy:  56.2%, Validation Accuracy:  54.7%,  Validation Loss: 1.071
Training Epoch 30 --- Training Accuracy:  55.5%, Validation Accuracy:  46.9%,  Validation Loss: 1.223
Training Epoch 31 --- Training Accuracy:  59.4%, Validation Accuracy:  53.1%,  Validation Loss: 1.095
Training Epoch 32 --- Training Accuracy:  64.1%, Validation Accuracy:  56.2%,  Validation Loss: 1.180
Training Epoch 33 --- Training Accuracy:  58.6%, Validation Accuracy:  61.7%,  Validation Loss: 1.269
Training Epoch 34 --- Training Accuracy:  63.3%, Validation Accuracy:  52.3%,  Validation Loss: 1.272
Training Epoch 35 --- Training Accuracy:  63.3%, Validation Accuracy:  60.2%,  Validation Loss: 1.185
Training Epoch 36 --- Training Accuracy:  69.5%, Validation Accuracy:  56.2%,  Validation Loss: 1.476
Training Epoch 37 --- Training Accuracy:  70.3%, Validation Accuracy:  64.8%,  Validation Loss: 1.326
Training Epoch 38 --- Training Accuracy:  78.1%, Validation Accuracy:  49.2%,  Validation Loss: 2.081
Training Epoch 39 --- Training Accuracy:  78.1%, Validation Accuracy:  56.2%,  Validation Loss: 2.353
Training Epoch 40 --- Training Accuracy:  80.5%, Validation Accuracy:  64.1%,  Validation Loss: 2.211
Training Epoch 41 --- Training Accuracy:  80.5%, Validation Accuracy:  50.0%,  Validation Loss: 3.536
Training Epoch 42 --- Training Accuracy:  87.5%, Validation Accuracy:  57.8%,  Validation Loss: 3.435
Training Epoch 43 --- Training Accuracy:  92.2%, Validation Accuracy:  55.5%,  Validation Loss: 3.808
Training Epoch 44 --- Training Accuracy:  91.4%, Validation Accuracy:  52.3%,  Validation Loss: 3.895
Training Epoch 45 --- Training Accuracy:  93.8%, Validation Accuracy:  47.7%,  Validation Loss: 3.962
Training Epoch 46 --- Training Accuracy:  91.4%, Validation Accuracy:  60.2%,  Validation Loss: 3.263
Training Epoch 47 --- Training Accuracy:  95.3%, Validation Accuracy:  47.7%,  Validation Loss: 4.654
Training Epoch 48 --- Training Accuracy:  96.9%, Validation Accuracy:  57.8%,  Validation Loss: 3.557
Training Epoch 49 --- Training Accuracy:  98.4%, Validation Accuracy:  56.2%,  Validation Loss: 3.936
Training Epoch 50 --- Training Accuracy:  99.2%, Validation Accuracy:  57.0%,  Validation Loss: 4.426
Training Epoch 51 --- Training Accuracy:  89.1%, Validation Accuracy:  57.8%,  Validation Loss: 3.624
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 3.804
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 4.503
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 4.141
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 5.209
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 5.332
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 4.565
