ining Epoch 1 --- Training Accuracy:  86.7%, Validation Accuracy:  75.0%,  Validation Loss: 1.487
Training Epoch 2 --- Training Accuracy:  89.8%, Validation Accuracy:  70.3%,  Validation Loss: 0.797
Training Epoch 3 --- Training Accuracy:  94.5%, Validation Accuracy:  68.0%,  Validation Loss: 1.052
Training Epoch 4 --- Training Accuracy:  99.2%, Validation Accuracy:  72.7%,  Validation Loss: 1.237
Training Epoch 5 --- Training Accuracy:  98.4%, Validation Accuracy:  79.7%,  Validation Loss: 1.015
Training Epoch 6 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 1.752
Training Epoch 7 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 2.118
Training Epoch 8 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.977
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 1.732
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.150
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.958
Training Epoch 12 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.759
Training Epoch 13 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.390
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.777
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 2.465
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.335
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.947
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.352
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.606
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.867
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 1.917
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.265
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  66.4%,  Validation Loss: 2.631
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 2.647
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 1.904
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 1.780
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 2.453
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.125
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.045
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.859
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.057
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 3.154
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 3.328
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 3.333
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  68.0%,  Validation Loss: 2.876
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 2.881
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.598
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.693
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.980
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 3.430

