ining Epoch 1 --- Training Accuracy:  54.7%, Validation Accuracy:  72.7%,  Validation Loss: 1.798
Training Epoch 2 --- Training Accuracy:  54.7%, Validation Accuracy:  64.1%,  Validation Loss: 0.684
Training Epoch 3 --- Training Accuracy:  54.7%, Validation Accuracy:  66.4%,  Validation Loss: 0.668
Training Epoch 4 --- Training Accuracy:  57.0%, Validation Accuracy:  70.3%,  Validation Loss: 0.659
Training Epoch 5 --- Training Accuracy:  55.5%, Validation Accuracy:  71.9%,  Validation Loss: 0.617
Training Epoch 6 --- Training Accuracy:  59.4%, Validation Accuracy:  66.4%,  Validation Loss: 0.635
Training Epoch 7 --- Training Accuracy:  57.0%, Validation Accuracy:  69.5%,  Validation Loss: 0.678
Training Epoch 8 --- Training Accuracy:  57.8%, Validation Accuracy:  69.5%,  Validation Loss: 0.583
Training Epoch 9 --- Training Accuracy:  60.2%, Validation Accuracy:  71.9%,  Validation Loss: 0.605
Training Epoch 10 --- Training Accuracy:  64.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.752
Training Epoch 11 --- Training Accuracy:  62.5%, Validation Accuracy:  67.2%,  Validation Loss: 0.836
Training Epoch 12 --- Training Accuracy:  60.9%, Validation Accuracy:  64.8%,  Validation Loss: 0.813
Training Epoch 13 --- Training Accuracy:  62.5%, Validation Accuracy:  79.7%,  Validation Loss: 0.543
Training Epoch 14 --- Training Accuracy:  69.5%, Validation Accuracy:  67.2%,  Validation Loss: 0.732
Training Epoch 15 --- Training Accuracy:  68.0%, Validation Accuracy:  64.1%,  Validation Loss: 1.025
Training Epoch 16 --- Training Accuracy:  69.5%, Validation Accuracy:  64.8%,  Validation Loss: 0.919
Training Epoch 17 --- Training Accuracy:  70.3%, Validation Accuracy:  59.4%,  Validation Loss: 1.128
Training Epoch 18 --- Training Accuracy:  70.3%, Validation Accuracy:  62.5%,  Validation Loss: 1.094
Training Epoch 19 --- Training Accuracy:  72.7%, Validation Accuracy:  62.5%,  Validation Loss: 1.161
Training Epoch 20 --- Training Accuracy:  76.6%, Validation Accuracy:  63.3%,  Validation Loss: 1.320
Training Epoch 21 --- Training Accuracy:  78.9%, Validation Accuracy:  65.6%,  Validation Loss: 1.422
Training Epoch 22 --- Training Accuracy:  77.3%, Validation Accuracy:  58.6%,  Validation Loss: 1.807
Training Epoch 23 --- Training Accuracy:  85.9%, Validation Accuracy:  60.2%,  Validation Loss: 1.875
Training Epoch 24 --- Training Accuracy:  82.8%, Validation Accuracy:  50.8%,  Validation Loss: 2.062
Training Epoch 25 --- Training Accuracy:  83.6%, Validation Accuracy:  64.8%,  Validation Loss: 1.727
Training Epoch 26 --- Training Accuracy:  82.0%, Validation Accuracy:  60.9%,  Validation Loss: 1.693
Training Epoch 27 --- Training Accuracy:  79.7%, Validation Accuracy:  62.5%,  Validation Loss: 1.834
Training Epoch 28 --- Training Accuracy:  82.8%, Validation Accuracy:  59.4%,  Validation Loss: 1.750
Training Epoch 29 --- Training Accuracy:  85.9%, Validation Accuracy:  60.9%,  Validation Loss: 1.574
Training Epoch 30 --- Training Accuracy:  85.9%, Validation Accuracy:  68.0%,  Validation Loss: 1.233
Training Epoch 31 --- Training Accuracy:  82.0%, Validation Accuracy:  55.5%,  Validation Loss: 1.912
Training Epoch 32 --- Training Accuracy:  82.8%, Validation Accuracy:  55.5%,  Validation Loss: 2.144
Training Epoch 33 --- Training Accuracy:  80.5%, Validation Accuracy:  63.3%,  Validation Loss: 1.804
Training Epoch 34 --- Training Accuracy:  71.9%, Validation Accuracy:  54.7%,  Validation Loss: 2.411
Training Epoch 35 --- Training Accuracy:  87.5%, Validation Accuracy:  61.7%,  Validation Loss: 1.631
Training Epoch 36 --- Training Accuracy:  88.3%, Validation Accuracy:  57.0%,  Validation Loss: 2.357
Training Epoch 37 --- Training Accuracy:  91.4%, Validation Accuracy:  60.9%,  Validation Loss: 2.261
Training Epoch 38 --- Training Accuracy:  89.8%, Validation Accuracy:  61.7%,  Validation Loss: 2.237
Training Epoch 39 --- Training Accuracy:  91.4%, Validation Accuracy:  55.5%,  Validation Loss: 2.729
Training Epoch 40 --- Training Accuracy:  93.8%, Validation Accuracy:  60.9%,  Validation Loss: 2.503
Training Epoch 41 --- Training Accuracy:  94.5%, Validation Accuracy:  53.9%,  Validation Loss: 2.623
Training Epoch 42 --- Training Accuracy:  89.8%, Validation Accuracy:  64.8%,  Validation Loss: 2.317
Training Epoch 43 --- Training Accuracy:  93.8%, Validation Accuracy:  54.7%,  Validation Loss: 2.544
Training Epoch 44 --- Training Accuracy:  93.0%, Validation Accuracy:  59.4%,  Validation Loss: 2.611
Training Epoch 45 --- Training Accuracy:  96.1%, Validation Accuracy:  61.7%,  Validation Loss: 2.620
Training Epoch 46 --- Training Accuracy:  96.9%, Validation Accuracy:  53.9%,  Validation Loss: 2.584
Training Epoch 47 --- Training Accuracy:  97.7%, Validation Accuracy:  64.1%,  Validation Loss: 1.962
Training Epoch 48 --- Training Accuracy:  99.2%, Validation Accuracy:  58.6%,  Validation Loss: 2.382
Training Epoch 49 --- Training Accuracy:  96.9%, Validation Accuracy:  56.2%,  Validation Loss: 2.678
Training Epoch 50 --- Training Accuracy:  96.9%, Validation Accuracy:  57.8%,  Validation Loss: 2.843
Training Epoch 51 --- Training Accuracy:  96.1%, Validation Accuracy:  52.3%,  Validation Loss: 3.073
Training Epoch 52 --- Training Accuracy:  99.2%, Validation Accuracy:  56.2%,  Validation Loss: 2.910
Training Epoch 53 --- Training Accuracy:  97.7%, Validation Accuracy:  54.7%,  Validation Loss: 3.749
Training Epoch 54 --- Training Accuracy:  97.7%, Validation Accuracy:  57.0%,  Validation Loss: 3.058
Training Epoch 55 --- Training Accuracy:  96.9%, Validation Accuracy:  61.7%,  Validation Loss: 2.302
Training Epoch 56 --- Training Accuracy:  98.4%, Validation Accuracy:  55.5%,  Validation Loss: 3.240
Training Epoch 57 --- Training Accuracy:  99.2%, Validation Accuracy:  61.7%,  Validation Loss: 3.412
Training Epoch 58 --- Training Accuracy:  98.4%, Validation Accuracy:  54.7%,  Validation Loss: 3.528
Training Epoch 59 --- Training Accuracy:  99.2%, Validation Accuracy:  63.3%,  Validation Loss: 3.932
Training Epoch 60 --- Training Accuracy:  99.2%, Validation Accuracy:  56.2%,  Validation Loss: 3.444
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 3.403
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 3.406
Training Epoch 63 --- Training Accuracy:  99.2%, Validation Accuracy:  57.8%,  Validation Loss: 3.527
Training Epoch 64 --- Training Accuracy:  97.7%, Validation Accuracy:  66.4%,  Validation Loss: 2.694
Training Epoch 65 --- Training Accuracy:  98.4%, Validation Accuracy:  61.7%,  Validation Loss: 2.914
Training Epoch 66 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 3.548
Training Epoch 67 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 3.663
Training Epoch 68 --- Training Accuracy:  98.4%, Validation Accuracy:  50.8%,  Validation Loss: 4.149
Training Epoch 69 --- Training Accuracy:  99.2%, Validation Accuracy:  61.7%,  Validation Loss: 3.417
Training Epoch 70 --- Training Accuracy:  96.9%, Validation Accuracy:  57.8%,  Validation Loss: 3.978
Training Epoch 71 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 4.172
Training Epoch 72 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 3.651
Training Epoch 73 --- Training Accuracy:  99.2%, Validation Accuracy:  59.4%,  Validation Loss: 4.824
Training Epoch 74 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 4.887
Training Epoch 75 --- Training Accuracy:  99.2%, Validation Accuracy:  55.5%,  Validation Loss: 5.194
Training Epoch 76 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 4.415
Training Epoch 77 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 3.979
Training Epoch 78 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 4.919
Training Epoch 79 --- Training Accuracy:  97.7%, Validation Accuracy:  60.2%,  Validation Loss: 4.804
Training Epoch 80 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 4.950
Training Epoch 81 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 4.204
Training Epoch 82 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 3.959
Training Epoch 83 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 5.201
Training Epoch 84 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 4.712

