ining Epoch 1 --- Training Accuracy:  72.7%, Validation Accuracy:  74.2%,  Validation Loss: 1.453
Training Epoch 2 --- Training Accuracy:  76.6%, Validation Accuracy:  71.9%,  Validation Loss: 0.704
Training Epoch 3 --- Training Accuracy:  81.2%, Validation Accuracy:  72.7%,  Validation Loss: 0.683
Training Epoch 4 --- Training Accuracy:  89.1%, Validation Accuracy:  74.2%,  Validation Loss: 0.794
Training Epoch 5 --- Training Accuracy:  94.5%, Validation Accuracy:  71.1%,  Validation Loss: 0.973
Training Epoch 6 --- Training Accuracy:  96.1%, Validation Accuracy:  59.4%,  Validation Loss: 1.895
Training Epoch 7 --- Training Accuracy:  93.8%, Validation Accuracy:  68.8%,  Validation Loss: 1.651
Training Epoch 8 --- Training Accuracy:  96.9%, Validation Accuracy:  71.1%,  Validation Loss: 1.973
Training Epoch 9 --- Training Accuracy:  96.9%, Validation Accuracy:  64.8%,  Validation Loss: 2.255
Training Epoch 10 --- Training Accuracy:  99.2%, Validation Accuracy:  75.0%,  Validation Loss: 1.575
Training Epoch 11 --- Training Accuracy:  98.4%, Validation Accuracy:  68.0%,  Validation Loss: 2.637
Training Epoch 12 --- Training Accuracy:  99.2%, Validation Accuracy:  75.8%,  Validation Loss: 1.947
Training Epoch 13 --- Training Accuracy:  98.4%, Validation Accuracy:  76.6%,  Validation Loss: 1.487
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 2.700
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 3.188
Training Epoch 16 --- Training Accuracy:  97.7%, Validation Accuracy:  64.8%,  Validation Loss: 3.483
Training Epoch 17 --- Training Accuracy:  99.2%, Validation Accuracy:  64.1%,  Validation Loss: 3.754
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.466
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.777
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.596
Training Epoch 21 --- Training Accuracy:  99.2%, Validation Accuracy:  73.4%,  Validation Loss: 2.413
Training Epoch 22 --- Training Accuracy:  99.2%, Validation Accuracy:  74.2%,  Validation Loss: 2.501
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 3.429
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  68.0%,  Validation Loss: 3.069
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 3.181
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.833
Training Epoch 27 --- Training Accuracy:  99.2%, Validation Accuracy:  72.7%,  Validation Loss: 2.488
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.291
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.144
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.805
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.525
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 3.109
Training Epoch 33 --- Training Accuracy:  99.2%, Validation Accuracy:  64.1%,  Validation Loss: 3.642
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 3.148
Training Epoch 35 --- Training Accuracy:  99.2%, Validation Accuracy:  68.8%,  Validation Loss: 2.621
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.866
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 3.233
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.791
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.466
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 3.667

