ining Epoch 1 --- Training Accuracy:  89.1%, Validation Accuracy:  79.7%,  Validation Loss: 1.130
Training Epoch 2 --- Training Accuracy:  95.3%, Validation Accuracy:  70.3%,  Validation Loss: 0.777
Training Epoch 3 --- Training Accuracy:  98.4%, Validation Accuracy:  78.1%,  Validation Loss: 0.839
Training Epoch 4 --- Training Accuracy:  99.2%, Validation Accuracy:  78.1%,  Validation Loss: 0.881
Training Epoch 5 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 1.296
Training Epoch 6 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.037
Training Epoch 7 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.374
Training Epoch 8 --- Training Accuracy:  99.2%, Validation Accuracy:  66.4%,  Validation Loss: 2.165
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 1.955
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.133
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.045
Training Epoch 12 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.597
Training Epoch 13 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.524
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.847
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.102
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.056
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  81.2%,  Validation Loss: 1.727
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  82.8%,  Validation Loss: 1.562
